user_id,stage_id,question,value,timestamp
50571e1b31dc34.76212177,534457984,condition,prp_mctrl,2012-09-17 13:00:08
50571db1f2c0c1.00437893,534457984,condition,gms_prp,2012-09-17 13:00:27
50571db2d38214.51097166,534457984,condition,mctrl_pctrl,2012-09-17 13:00:32
50571d8e6ba972.82599638,534457984,condition,gms_pctrl,2012-09-17 13:00:41
50571e05dd55d6.30767851,534457984,condition,gms_prp,2012-09-17 13:00:52
50571e6b172b61.35088826,534457984,condition,prp_mctrl,2012-09-17 13:02:16
50571df28a0133.51045911,534457984,condition,mctrl_pctrl,2012-09-17 13:02:44
50571e1ea37768.24324290,534457984,condition,gms_pctrl,2012-09-17 13:02:44
50571dd6ba8419.66836564,534457984,condition,mctrl_pctrl,2012-09-17 13:02:50
50571e91ab6f44.91848716,534457984,condition,gms_prp,2012-09-17 13:03:29
50571e5a030ee9.51640515,534457984,condition,prp_mctrl,2012-09-17 13:04:11
50571e2e3054a1.12423870,534457984,condition,prp_mctrl,2012-09-17 13:05:58
50571ec6e80fc3.64769377,534457984,condition,gms_prp,2012-09-17 13:10:44
505721a708bcb6.71796187,534457984,condition,gms_pctrl,2012-09-17 13:19:40
505728d26f5761.89864629,534457984,condition,mctrl_pctrl,2012-09-17 14:00:23
50572d7179c2d7.69253163,534457984,condition,mctrl_pctrl,2012-09-17 14:09:06
50572e2bd029e5.64796614,534457984,condition,prp_mctrl,2012-09-17 14:10:33
50572c96726eb7.82062688,534457984,condition,gms_prp,2012-09-17 14:11:24
50572e423b0d14.42727515,534457984,condition,gms_prp,2012-09-17 14:12:19
50572ea38666b9.74425190,534457984,condition,gms_pctrl,2012-09-17 14:13:46
50572e80e1bd46.34192303,534457984,condition,mctrl_pctrl,2012-09-17 14:14:55
50572fc4cabb47.68184239,534457984,condition,prp_mctrl,2012-09-17 14:19:18
50572f2a4bf6b0.97443396,534457984,condition,gms_pctrl,2012-09-17 14:20:52
505731ca538609.19255798,534457984,condition,prp_mctrl,2012-09-17 14:27:19
505732eef28375.35665000,534457984,condition,gms_pctrl,2012-09-17 14:30:50
505733c4b1f626.75020737,534457984,condition,prp_mctrl,2012-09-17 14:33:25
5057344a78bbd6.36726455,534457984,condition,gms_pctrl,2012-09-17 14:35:47
5057345c3c16b9.85928037,534457984,condition,gms_prp,2012-09-17 14:35:57
505733d8bee791.93469504,534457984,condition,gms_pctrl,2012-09-17 14:36:13
5057340b5587e4.59402122,534457984,condition,gms_prp,2012-09-17 14:36:28
50573440d59f20.88059962,534457984,condition,mctrl_pctrl,2012-09-17 14:36:59
